Epoch,Loss,Test Accuracy,Gradient Calls
1,2.296095609664917,0.1289,400
2,2.2717785835266113,0.1732,800
3,2.258261203765869,0.2082,1200
4,2.2345173358917236,0.262,1600
5,2.2442564964294434,0.3086,2000
6,2.2080016136169434,0.3346,2400
7,2.1857376098632812,0.3555,2800
8,2.160128116607666,0.3789,3200
9,2.151418685913086,0.3995,3600
10,2.149045467376709,0.4242,4000
