Epoch,Loss,Test Accuracy,Gradient Calls
1,2.2686731815338135,0.1423,4200
2,2.257347822189331,0.2242,8400
3,2.239323616027832,0.3079,12600
4,2.221980333328247,0.349,16800
5,2.1933188438415527,0.3435,21000
